bytes_in,bytes_out,destination.bytes,source.bytes,network.bytes,event.duration,source.ip,destination.ip,source.port,network.packets,destination.port,attack
76.0,56.0,56.0,76.0,132.0,7410.0,10.10.10.10,10.10.10.30,54778.0,2,156.0,1.0
76.0,56.0,56.0,76.0,132.0,6320.0,10.10.10.10,10.10.10.30,36872.0,2,157.0,1.0
76.0,56.0,56.0,76.0,132.0,6260.0,10.10.10.10,10.10.10.30,60526.0,2,158.0,1.0
76.0,56.0,56.0,76.0,132.0,6180.0,10.10.10.10,10.10.10.30,40928.0,2,159.0,1.0
76.0,56.0,56.0,76.0,132.0,6370.0,10.10.10.10,10.10.10.30,36910.0,2,160.0,1.0
76.0,56.0,56.0,76.0,132.0,6360.0,10.10.10.10,10.10.10.30,57116.0,2,161.0,1.0
76.0,56.0,56.0,76.0,132.0,6390.0,10.10.10.10,10.10.10.30,37646.0,2,162.0,1.0
76.0,56.0,56.0,76.0,132.0,6350.0,10.10.10.10,10.10.10.30,52934.0,2,163.0,1.0
76.0,56.0,56.0,76.0,132.0,17710.0,10.10.10.10,10.10.10.30,43504.0,2,164.0,1.0
76.0,56.0,56.0,76.0,132.0,6510.0,10.10.10.10,10.10.10.30,57564.0,2,165.0,1.0
76.0,56.0,56.0,76.0,132.0,6220.0,10.10.10.10,10.10.10.30,42292.0,2,166.0,1.0
76.0,56.0,56.0,76.0,132.0,6510.0,10.10.10.10,10.10.10.30,53480.0,2,167.0,1.0
76.0,56.0,56.0,76.0,132.0,6180.0,10.10.10.10,10.10.10.30,42482.0,2,168.0,1.0
76.0,56.0,56.0,76.0,132.0,6430.0,10.10.10.10,10.10.10.30,41898.0,2,169.0,1.0
76.0,56.0,56.0,76.0,132.0,6400.0,10.10.10.10,10.10.10.30,43216.0,2,170.0,1.0
76.0,56.0,56.0,76.0,132.0,6320.0,10.10.10.10,10.10.10.30,57852.0,2,171.0,1.0
76.0,56.0,56.0,76.0,132.0,6140.0,10.10.10.10,10.10.10.30,56276.0,2,172.0,1.0
76.0,56.0,56.0,76.0,132.0,6420.0,10.10.10.10,10.10.10.30,56946.0,2,173.0,1.0
76.0,56.0,56.0,76.0,132.0,6330.0,10.10.10.10,10.10.10.30,34824.0,2,174.0,1.0
76.0,56.0,56.0,76.0,132.0,7400.0,10.10.10.10,10.10.10.30,60792.0,2,175.0,1.0
76.0,56.0,56.0,76.0,132.0,6310.0,10.10.10.10,10.10.10.30,52272.0,2,176.0,1.0
76.0,56.0,56.0,76.0,132.0,7630.0,10.10.10.10,10.10.10.30,52066.0,2,177.0,1.0
76.0,56.0,56.0,76.0,132.0,6300.0,10.10.10.10,10.10.10.30,46430.0,2,178.0,1.0
76.0,56.0,56.0,76.0,132.0,6130.0,10.10.10.10,10.10.10.30,52518.0,2,179.0,1.0
76.0,56.0,56.0,76.0,132.0,13480.0,10.10.10.10,10.10.10.30,43590.0,2,180.0,1.0
76.0,56.0,56.0,76.0,132.0,6460.0,10.10.10.10,10.10.10.30,52436.0,2,181.0,1.0
76.0,56.0,56.0,76.0,132.0,9160.0,10.10.10.10,10.10.10.30,34158.0,2,182.0,1.0
76.0,56.0,56.0,76.0,132.0,6370.0,10.10.10.10,10.10.10.30,45698.0,2,183.0,1.0
76.0,56.0,56.0,76.0,132.0,6310.0,10.10.10.10,10.10.10.30,35704.0,2,184.0,1.0
76.0,56.0,56.0,76.0,132.0,7180.0,10.10.10.10,10.10.10.30,48952.0,2,185.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,44182.0,2,186.0,1.0
76.0,56.0,56.0,76.0,132.0,6450.0,10.10.10.10,10.10.10.30,35646.0,2,187.0,1.0
76.0,56.0,56.0,76.0,132.0,6480.0,10.10.10.10,10.10.10.30,37884.0,2,188.0,1.0
76.0,56.0,56.0,76.0,132.0,6940.0,10.10.10.10,10.10.10.30,59368.0,2,189.0,1.0
76.0,56.0,56.0,76.0,132.0,6190.0,10.10.10.10,10.10.10.30,48192.0,2,190.0,1.0
76.0,56.0,56.0,76.0,132.0,7300.0,10.10.10.10,10.10.10.30,34946.0,2,191.0,1.0
76.0,56.0,56.0,76.0,132.0,6240.0,10.10.10.10,10.10.10.30,48852.0,2,192.0,1.0
76.0,56.0,56.0,76.0,132.0,7330.0,10.10.10.10,10.10.10.30,44700.0,2,193.0,1.0
76.0,56.0,56.0,76.0,132.0,6170.0,10.10.10.10,10.10.10.30,49722.0,2,194.0,1.0
76.0,56.0,56.0,76.0,132.0,6380.0,10.10.10.10,10.10.10.30,38252.0,2,195.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,47450.0,2,196.0,1.0
76.0,56.0,56.0,76.0,132.0,7150.0,10.10.10.10,10.10.10.30,41176.0,2,197.0,1.0
76.0,56.0,56.0,76.0,132.0,7520.0,10.10.10.10,10.10.10.30,55736.0,2,198.0,1.0
76.0,56.0,56.0,76.0,132.0,6360.0,10.10.10.10,10.10.10.30,47922.0,2,199.0,1.0
76.0,56.0,56.0,76.0,132.0,6400.0,10.10.10.10,10.10.10.30,50170.0,2,200.0,1.0
76.0,56.0,56.0,76.0,132.0,19560.0,10.10.10.10,10.10.10.30,50418.0,2,201.0,1.0
76.0,56.0,56.0,76.0,132.0,6620.0,10.10.10.10,10.10.10.30,36982.0,2,202.0,1.0
76.0,56.0,56.0,76.0,132.0,6400.0,10.10.10.10,10.10.10.30,38158.0,2,203.0,1.0
76.0,56.0,56.0,76.0,132.0,24880.0,10.10.10.10,10.10.10.30,57232.0,2,204.0,1.0
76.0,56.0,56.0,76.0,132.0,9220.0,10.10.10.10,10.10.10.30,58504.0,2,205.0,1.0
76.0,56.0,56.0,76.0,132.0,8030.0,10.10.10.10,10.10.10.30,41494.0,2,206.0,1.0
76.0,56.0,56.0,76.0,132.0,6540.0,10.10.10.10,10.10.10.30,38252.0,2,207.0,1.0
76.0,56.0,56.0,76.0,132.0,7420.0,10.10.10.10,10.10.10.30,53530.0,2,208.0,1.0
76.0,56.0,56.0,76.0,132.0,8630.0,10.10.10.10,10.10.10.30,41294.0,2,209.0,1.0
76.0,56.0,56.0,76.0,132.0,6800.0,10.10.10.10,10.10.10.30,51648.0,2,210.0,1.0
76.0,56.0,56.0,76.0,132.0,6940.0,10.10.10.10,10.10.10.30,39514.0,2,211.0,1.0
76.0,56.0,56.0,76.0,132.0,8070.0,10.10.10.10,10.10.10.30,60506.0,2,212.0,1.0
76.0,56.0,56.0,76.0,132.0,9180.0,10.10.10.10,10.10.10.30,47734.0,2,213.0,1.0
76.0,56.0,56.0,76.0,132.0,7140.0,10.10.10.10,10.10.10.30,41166.0,2,214.0,1.0
76.0,56.0,56.0,76.0,132.0,7340.0,10.10.10.10,10.10.10.30,60114.0,2,215.0,1.0
76.0,56.0,56.0,76.0,132.0,6850.0,10.10.10.10,10.10.10.30,52384.0,2,216.0,1.0
76.0,56.0,56.0,76.0,132.0,7910.0,10.10.10.10,10.10.10.30,51926.0,2,217.0,1.0
76.0,56.0,56.0,76.0,132.0,6930.0,10.10.10.10,10.10.10.30,57916.0,2,218.0,1.0
76.0,56.0,56.0,76.0,132.0,6710.0,10.10.10.10,10.10.10.30,38528.0,2,219.0,1.0
76.0,56.0,56.0,76.0,132.0,6770.0,10.10.10.10,10.10.10.30,39896.0,2,220.0,1.0
76.0,56.0,56.0,76.0,132.0,7530.0,10.10.10.10,10.10.10.30,54358.0,2,221.0,1.0
76.0,56.0,56.0,76.0,132.0,6600.0,10.10.10.10,10.10.10.30,56668.0,2,222.0,1.0
76.0,56.0,56.0,76.0,132.0,7070.0,10.10.10.10,10.10.10.30,41000.0,2,223.0,1.0
76.0,56.0,56.0,76.0,132.0,6380.0,10.10.10.10,10.10.10.30,46752.0,2,224.0,1.0
76.0,56.0,56.0,76.0,132.0,7330.0,10.10.10.10,10.10.10.30,41710.0,2,225.0,1.0
76.0,56.0,56.0,76.0,132.0,6240.0,10.10.10.10,10.10.10.30,57340.0,2,226.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,50944.0,2,227.0,1.0
76.0,56.0,56.0,76.0,132.0,6240.0,10.10.10.10,10.10.10.30,36100.0,2,228.0,1.0
76.0,56.0,56.0,76.0,132.0,6290.0,10.10.10.10,10.10.10.30,41336.0,2,229.0,1.0
76.0,56.0,56.0,76.0,132.0,6300.0,10.10.10.10,10.10.10.30,37526.0,2,230.0,1.0
76.0,56.0,56.0,76.0,132.0,7110.0,10.10.10.10,10.10.10.30,51362.0,2,231.0,1.0
76.0,56.0,56.0,76.0,132.0,6280.0,10.10.10.10,10.10.10.30,42032.0,2,232.0,1.0
76.0,56.0,56.0,76.0,132.0,6180.0,10.10.10.10,10.10.10.30,41122.0,2,233.0,1.0
76.0,56.0,56.0,76.0,132.0,6270.0,10.10.10.10,10.10.10.30,52310.0,2,234.0,1.0
76.0,56.0,56.0,76.0,132.0,6239.0,10.10.10.10,10.10.10.30,43030.0,2,235.0,1.0
76.0,56.0,56.0,76.0,132.0,7140.0,10.10.10.10,10.10.10.30,42698.0,2,236.0,1.0
76.0,56.0,56.0,76.0,132.0,124652.0,10.10.10.10,10.10.10.30,44718.0,2,237.0,1.0
76.0,56.0,56.0,76.0,132.0,7240.0,10.10.10.10,10.10.10.30,56408.0,2,238.0,1.0
76.0,56.0,56.0,76.0,132.0,6600.0,10.10.10.10,10.10.10.30,41916.0,2,239.0,1.0
76.0,56.0,56.0,76.0,132.0,6340.0,10.10.10.10,10.10.10.30,57658.0,2,240.0,1.0
76.0,56.0,56.0,76.0,132.0,6400.0,10.10.10.10,10.10.10.30,42256.0,2,241.0,1.0
76.0,56.0,56.0,76.0,132.0,7250.0,10.10.10.10,10.10.10.30,54156.0,2,242.0,1.0
76.0,56.0,56.0,76.0,132.0,6270.0,10.10.10.10,10.10.10.30,38920.0,2,243.0,1.0
76.0,56.0,56.0,76.0,132.0,6660.0,10.10.10.10,10.10.10.30,59616.0,2,244.0,1.0
76.0,56.0,56.0,76.0,132.0,6180.0,10.10.10.10,10.10.10.30,49606.0,2,245.0,1.0
76.0,56.0,56.0,76.0,132.0,6310.0,10.10.10.10,10.10.10.30,37356.0,2,246.0,1.0
76.0,56.0,56.0,76.0,132.0,6290.0,10.10.10.10,10.10.10.30,34026.0,2,247.0,1.0
76.0,56.0,56.0,76.0,132.0,6630.0,10.10.10.10,10.10.10.30,41332.0,2,248.0,1.0
76.0,56.0,56.0,76.0,132.0,6340.0,10.10.10.10,10.10.10.30,49220.0,2,249.0,1.0
76.0,56.0,56.0,76.0,132.0,6770.0,10.10.10.10,10.10.10.30,53614.0,2,250.0,1.0
76.0,56.0,56.0,76.0,132.0,6410.0,10.10.10.10,10.10.10.30,44688.0,2,251.0,1.0
76.0,56.0,56.0,76.0,132.0,6280.0,10.10.10.10,10.10.10.30,57428.0,2,252.0,1.0
76.0,56.0,56.0,76.0,132.0,6350.0,10.10.10.10,10.10.10.30,55730.0,2,253.0,1.0
76.0,56.0,56.0,76.0,132.0,6510.0,10.10.10.10,10.10.10.30,35590.0,2,254.0,1.0
76.0,56.0,56.0,76.0,132.0,7200.0,10.10.10.10,10.10.10.30,34950.0,2,255.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,48536.0,2,256.0,1.0
76.0,56.0,56.0,76.0,132.0,6340.0,10.10.10.10,10.10.10.30,55466.0,2,257.0,1.0
